"Pomurska";"Študentje";"Kadrovske štipendije sofinancirane posredno";89;62;27;-;97;63;34;-;75;59;16;-;78;54;24;-;76;52;24;-;60;37;23;-;57;32;25;-
"Pomurska";"Študentje";"Kadrovske štipendije sofinancirane neposredno";9;7;2;-;11;8;3;-;6;4;2;-;1;1;-;-;4;2;2;-;3;-;3;-;4;1;3;-
"Pomurska";"Študentje";"Kadrovske štipendije nesofinancirane";88;42;46;-;84;42;42;-;61;29;32;-;58;32;26;-;43;26;17;-;25;15;10;-;30;20;10;-
"Pomurska";"Študentje";"Državne štipendije";1135;386;749;-;1317;490;827;-;1341;487;854;-;1636;620;1016;-;1448;504;944;-;1257;420;837;-;1239;409;830;-
"Pomurska";"Študentje";"Zoisove štipendije";327;124;203;-;346;118;228;-;334;124;210;-;310;108;202;-;281;96;185;-;275;95;180;-;198;70;128;-
"Pomurska";"Študentje";"Štipendije za Slovence v zamejstvu in po svetu";1;-;1;-;2;-;2;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Pomurska";"Študentje";"Druge štipendije";4;1;3;-;4;2;2;-;41;14;27;-;6;3;3;-;104;36;68;-;82;34;47;1;11;7;4;-
"Pomurska";"Študentje";"Neznano";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Pomurska";"Neznano";"Vrsta štipendije - SKUPAJ";-;-;-;-;1;1;-;-;4;3;1;-;19;10;9;-;14;7;7;-;8;4;4;-;14;7;7;-
"Pomurska";"Neznano";"Kadrovske štipendije - Skupaj";-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Pomurska";"Neznano";"Kadrovske štipendije sofinancirane posredno";-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Pomurska";"Neznano";"Kadrovske štipendije sofinancirane neposredno";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Pomurska";"Neznano";"Kadrovske štipendije nesofinancirane";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Pomurska";"Neznano";"Državne štipendije";-;-;-;-;-;-;-;-;3;2;1;-;17;9;8;-;9;3;6;-;6;3;3;-;11;5;6;-
"Pomurska";"Neznano";"Zoisove štipendije";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;5;4;1;-;2;1;1;-;2;1;1;-
"Pomurska";"Neznano";"Štipendije za Slovence v zamejstvu in po svetu";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Pomurska";"Neznano";"Druge štipendije";-;-;-;-;1;1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-
"Pomurska";"Neznano";"Neznano";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Podravska";"Štipendije - SKUPAJ";"Vrsta štipendije - SKUPAJ";9077;4160;4917;-;10270;4618;5652;-;10375;4692;5683;-;11202;5108;6094;-;7000;2886;4114;-;6646;2794;3851;1;9612;4400;5212;-
"Podravska";"Štipendije - SKUPAJ";"Kadrovske štipendije - Skupaj";801;486;315;-;784;459;325;-;639;360;279;-;539;315;224;-;488;263;225;-;473;252;221;-;466;257;209;-
"Podravska";"Štipendije - SKUPAJ";"Kadrovske štipendije sofinancirane posredno";61;55;6;-;65;52;13;-;45;36;9;-;33;28;5;-;31;24;7;-;41;22;19;-;40;22;18;-
"Podravska";"Štipendije - SKUPAJ";"Kadrovske štipendije sofinancirane neposredno";43;36;7;-;95;69;26;-;89;66;23;-;45;32;13;-;80;52;28;-;79;53;26;-;47;28;19;-
"Podravska";"Štipendije - SKUPAJ";"Kadrovske štipendije nesofinancirane";697;395;302;-;624;338;286;-;505;258;247;-;461;255;206;-;377;187;190;-;353;177;176;-;379;207;172;-
"Podravska";"Štipendije - SKUPAJ";"Državne štipendije";6244;2801;3443;-;7318;3273;4045;-;7545;3441;4104;-;8682;3978;4704;-;4422;1787;2635;-;4235;1764;2471;-;7690;3530;4160;-
"Podravska";"Štipendije - SKUPAJ";"Zoisove štipendije";1986;851;1135;-;2159;882;1277;-;1984;814;1170;-;1943;792;1151;-;1737;697;1040;-;1648;662;986;-;1344;527;817;-
"Podravska";"Štipendije - SKUPAJ";"Štipendije za Slovence v zamejstvu in po svetu";1;-;1;-;1;-;1;-;2;1;1;-;3;1;2;-;2;2;-;-;2;1;1;-;4;1;3;-
"Podravska";"Štipendije - SKUPAJ";"Druge štipendije";45;22;23;-;8;4;4;-;205;76;129;-;35;22;13;-;351;137;214;-;288;115;172;1;108;85;23;-
"Podravska";"Štipendije - SKUPAJ";"Neznano";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Podravska";"Dijaki";"Vrsta štipendije - SKUPAJ";5216;2672;2544;-;5927;2996;2931;-;5909;3016;2893;-;6490;3259;3231;-;2657;1234;1423;-;2505;1215;1290;-;5947;2930;3017;-
"Podravska";"Dijaki";"Kadrovske štipendije - Skupaj";266;182;84;-;280;185;95;-;207;139;68;-;184;131;53;-;170;109;61;-;152;103;49;-;159;104;55;-
"Podravska";"Dijaki";"Kadrovske štipendije sofinancirane posredno";34;31;3;-;36;31;5;-;22;18;4;-;14;14;-;-;15;14;1;-;19;13;6;-;15;8;7;-
"Podravska";"Dijaki";"Kadrovske štipendije sofinancirane neposredno";20;16;4;-;41;33;8;-;32;27;5;-;16;12;4;-;28;21;7;-;25;16;9;-;10;6;4;-
"Podravska";"Dijaki";"Kadrovske štipendije nesofinancirane";212;135;77;-;203;121;82;-;153;94;59;-;154;105;49;-;127;74;53;-;108;74;34;-;134;90;44;-
"Podravska";"Dijaki";"Državne štipendije";4084;2075;2009;-;4664;2370;2294;-;4729;2452;2277;-;5308;2719;2589;-;1524;738;786;-;1444;746;698;-;4947;2505;2442;-
"Podravska";"Dijaki";"Zoisove štipendije";852;410;442;-;983;441;542;-;971;425;546;-;998;409;589;-;943;381;562;-;909;366;543;-;830;310;520;-
"Podravska";"Dijaki";"Štipendije za Slovence v zamejstvu in po svetu";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Podravska";"Dijaki";"Druge štipendije";14;5;9;-;-;-;-;-;2;-;2;-;-;-;-;-;20;6;14;-;-;-;-;-;11;11;-;-
"Podravska";"Dijaki";"Neznano";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Podravska";"Študentje";"Vrsta štipendije - SKUPAJ";3861;1488;2373;-;4343;1622;2721;-;4449;1671;2778;-;4679;1828;2851;-;4331;1648;2683;-;4127;1573;2553;1;3595;1420;2175;-
"Podravska";"Študentje";"Kadrovske štipendije - Skupaj";535;304;231;-;504;274;230;-;430;220;210;-;355;184;171;-;318;154;164;-;320;148;172;-;306;152;154;-
"Podravska";"Študentje";"Kadrovske štipendije sofinancirane posredno";27;24;3;-;29;21;8;-;22;17;5;-;19;14;5;-;16;10;6;-;22;9;13;-;25;14;11;-
"Podravska";"Študentje";"Kadrovske štipendije sofinancirane neposredno";23;20;3;-;54;36;18;-;57;39;18;-;29;20;9;-;52;31;21;-;53;36;17;-;36;21;15;-
"Podravska";"Študentje";"Kadrovske štipendije nesofinancirane";485;260;225;-;421;217;204;-;351;164;187;-;307;150;157;-;250;113;137;-;245;103;142;-;245;117;128;-
"Podravska";"Študentje";"Državne štipendije";2160;726;1434;-;2654;903;1751;-;2811;988;1823;-;3349;1240;2109;-;2889;1046;1843;-;2784;1015;1769;-;2732;1022;1710;-
"Podravska";"Študentje";"Zoisove štipendije";1134;441;693;-;1176;441;735;-;1003;386;617;-;938;382;556;-;791;315;476;-;733;294;439;-;511;217;294;-
"Podravska";"Študentje";"Štipendije za Slovence v zamejstvu in po svetu";1;-;1;-;1;-;1;-;2;1;1;-;3;1;2;-;2;2;-;-;2;1;1;-;4;1;3;-
"Podravska";"Študentje";"Druge štipendije";31;17;14;-;8;4;4;-;203;76;127;-;34;21;13;-;331;131;200;-;288;115;172;1;42;28;14;-
"Podravska";"Študentje";"Neznano";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Podravska";"Neznano";"Vrsta štipendije - SKUPAJ";-;-;-;-;-;-;-;-;17;5;12;-;33;21;12;-;12;4;8;-;14;6;8;-;70;50;20;-
"Podravska";"Neznano";"Kadrovske štipendije - Skupaj";-;-;-;-;-;-;-;-;2;1;1;-;-;-;-;-;-;-;-;-;1;1;-;-;1;1;-;-
"Podravska";"Neznano";"Kadrovske štipendije sofinancirane posredno";-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Podravska";"Neznano";"Kadrovske štipendije sofinancirane neposredno";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;1;-;-
"Podravska";"Neznano";"Kadrovske štipendije nesofinancirane";-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Podravska";"Neznano";"Državne štipendije";-;-;-;-;-;-;-;-;5;1;4;-;25;19;6;-;9;3;6;-;7;3;4;-;11;3;8;-
"Podravska";"Neznano";"Zoisove štipendije";-;-;-;-;-;-;-;-;10;3;7;-;7;1;6;-;3;1;2;-;6;2;4;-;3;-;3;-
"Podravska";"Neznano";"Štipendije za Slovence v zamejstvu in po svetu";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Podravska";"Neznano";"Druge štipendije";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;55;46;9;-
"Podravska";"Neznano";"Neznano";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Koroška";"Štipendije - SKUPAJ";"Vrsta štipendije - SKUPAJ";2471;1147;1324;-;2728;1231;1497;-;2930;1318;1612;-;3163;1425;1738;-;2009;862;1147;-;1835;781;1054;-;2518;1147;1371;-
"Koroška";"Štipendije - SKUPAJ";"Kadrovske štipendije - Skupaj";342;252;90;-;304;235;69;-;296;230;66;-;283;218;65;-;274;209;65;-;233;173;60;-;208;152;56;-
"Koroška";"Štipendije - SKUPAJ";"Kadrovske štipendije sofinancirane posredno";149;136;13;-;155;141;14;-;178;159;19;-;172;152;20;-;163;137;26;-;142;119;23;-;131;104;27;-
"Koroška";"Štipendije - SKUPAJ";"Kadrovske štipendije sofinancirane neposredno";11;9;2;-;16;15;1;-;14;13;1;-;12;10;2;-;31;27;4;-;19;16;3;-;15;12;3;-
"Koroška";"Štipendije - SKUPAJ";"Kadrovske štipendije nesofinancirane";182;107;75;-;133;79;54;-;104;58;46;-;99;56;43;-;80;45;35;-;72;38;34;-;62;36;26;-
"Koroška";"Štipendije - SKUPAJ";"Državne štipendije";1605;696;909;-;1835;798;1037;-;2024;883;1141;-;2332;1026;1306;-;1184;477;707;-;1074;440;634;-;1940;865;1075;-
"Koroška";"Štipendije - SKUPAJ";"Zoisove štipendije";516;195;321;-;586;197;389;-;561;190;371;-;542;179;363;-;480;154;326;-;457;151;306;-;362;123;239;-
"Koroška";"Štipendije - SKUPAJ";"Štipendije za Slovence v zamejstvu in po svetu";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Koroška";"Štipendije - SKUPAJ";"Druge štipendije";8;4;4;-;3;1;2;-;49;15;34;-;6;2;4;-;71;22;49;-;71;17;54;-;8;7;1;-
"Koroška";"Štipendije - SKUPAJ";"Neznano";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Koroška";"Dijaki";"Vrsta štipendije - SKUPAJ";1290;670;620;-;1493;735;758;-;1572;739;833;-;1697;814;883;-;690;332;358;-;621;293;328;-;1468;735;733;-
"Koroška";"Dijaki";"Kadrovske štipendije - Skupaj";117;109;8;-;107;97;10;-;108;85;23;-;107;89;18;-;109;93;16;-;94;79;15;-;88;74;14;-
"Koroška";"Dijaki";"Kadrovske štipendije sofinancirane posredno";60;60;-;-;63;63;-;-;67;58;9;-;69;68;1;-;68;65;3;-;62;59;3;-;54;51;3;-
"Koroška";"Dijaki";"Kadrovske štipendije sofinancirane neposredno";9;7;2;-;7;6;1;-;6;5;1;-;2;1;1;-;9;9;-;-;4;4;-;-;1;1;-;-
"Koroška";"Dijaki";"Kadrovske štipendije nesofinancirane";48;42;6;-;37;28;9;-;35;22;13;-;36;20;16;-;32;19;13;-;28;16;12;-;33;22;11;-
"Koroška";"Dijaki";"Državne štipendije";976;477;499;-;1116;548;568;-;1205;569;636;-;1344;647;697;-;343;166;177;-;308;142;166;-;1181;597;584;-
"Koroška";"Dijaki";"Zoisove štipendije";196;84;112;-;270;90;180;-;259;85;174;-;246;78;168;-;238;73;165;-;219;72;147;-;199;64;135;-
"Koroška";"Dijaki";"Štipendije za Slovence v zamejstvu in po svetu";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Koroška";"Dijaki";"Druge štipendije";1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Koroška";"Dijaki";"Neznano";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Koroška";"Študentje";"Vrsta štipendije - SKUPAJ";1181;477;704;-;1235;496;739;-;1351;573;778;-;1457;606;851;-;1316;530;786;-;1211;488;723;-;1040;405;635;-
"Koroška";"Študentje";"Kadrovske štipendije - Skupaj";225;143;82;-;197;138;59;-;184;141;43;-;176;129;47;-;165;116;49;-;139;94;45;-;120;78;42;-
"Koroška";"Študentje";"Kadrovske štipendije sofinancirane posredno";89;76;13;-;92;78;14;-;107;97;10;-;103;84;19;-;95;72;23;-;80;60;20;-;77;53;24;-
"Koroška";"Študentje";"Kadrovske štipendije sofinancirane neposredno";2;2;-;-;9;9;-;-;8;8;-;-;10;9;1;-;22;18;4;-;15;12;3;-;14;11;3;-
"Koroška";"Študentje";"Kadrovske štipendije nesofinancirane";134;65;69;-;96;51;45;-;69;36;33;-;63;36;27;-;48;26;22;-;44;22;22;-;29;14;15;-
"Koroška";"Študentje";"Državne štipendije";629;219;410;-;719;250;469;-;819;314;505;-;982;375;607;-;839;311;528;-;764;298;466;-;754;265;489;-
"Koroška";"Študentje";"Zoisove štipendije";320;111;209;-;316;107;209;-;299;103;196;-;293;100;193;-;241;81;160;-;237;79;158;-;162;58;104;-
"Koroška";"Študentje";"Štipendije za Slovence v zamejstvu in po svetu";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Koroška";"Študentje";"Druge štipendije";7;4;3;-;3;1;2;-;49;15;34;-;6;2;4;-;71;22;49;-;71;17;54;-;4;4;-;-
"Koroška";"Študentje";"Neznano";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Koroška";"Neznano";"Vrsta štipendije - SKUPAJ";-;-;-;-;-;-;-;-;7;6;1;-;9;5;4;-;3;-;3;-;3;-;3;-;10;7;3;-
"Koroška";"Neznano";"Kadrovske štipendije - Skupaj";-;-;-;-;-;-;-;-;4;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
